,Actual_Temperature,Predicted_Temperature
738,12.266667,13.292479
739,11.555554,13.034975
740,10.399998,11.545499
741,13.916666,10.1676445
742,13.266665,14.16882
743,12.499999,13.908328
744,10.583335,11.670697
745,10.033333,11.24352
746,9.844443,10.443111
747,9.966665,10.008108
748,13.666667,10.727716
749,17.394444,15.161765
750,19.888887,19.110556
751,22.133333,21.040829
752,23.577776,22.853947
753,24.838886,24.370804
754,24.955555,25.116531
755,25.961113,25.016748
756,27.11111,25.660734
757,26.088886,26.65394
758,27.15,25.46467
759,25.094444,26.418541
760,23.983334,23.808317
761,21.250002,23.403677
762,17.850002,20.326801
763,17.11111,16.721949
764,14.961112,16.209398
765,22.066666,14.119293
766,22.066666,20.717764
767,20.16111,22.17184
768,19.861109,19.194206
769,19.355556,19.35176
770,19.194443,18.879564
771,18.822222,18.5969
772,19.888887,18.943348
773,20.05,20.77554
774,22.11111,20.13034
775,24.772223,22.985672
776,25.827776,26.368286
777,27.13889,25.959604
778,28.733334,27.19937
779,28.777779,28.677343
780,29.883331,28.133799
781,29.905554,29.138935
782,29.794445,29.036291
783,29.861109,28.693304
784,28.677776,28.714046
785,27.011108,27.359262
786,23.911112,25.638273
787,22.6,22.427683
788,20.377777,20.866953
789,19.26111,18.819153
790,19.216665,18.091097
791,18.177778,18.797266
792,18.194445,18.241856
793,17.66111,18.089235
794,17.522224,17.688505
795,16.133333,17.163305
796,17.755556,16.038456
797,20.916668,18.167933
798,22.0,22.45499
799,22.094444,22.792503
800,22.666664,21.431883
801,23.827778,22.308315
802,25.955557,24.479254
803,26.68333,26.787203
804,26.116665,27.075716
805,25.116667,25.666515
806,23.622221,24.35
807,23.911112,22.377085
808,21.222223,23.322685
809,20.199999,21.318789
810,19.95,20.031326
811,19.883333,20.297316
812,18.8,19.89044
813,18.844444,17.560324
814,18.288887,18.721582
815,17.655554,17.983244
816,17.222221,17.360632
817,16.205557,17.19304
818,15.866667,16.076672
819,17.244444,15.779741
820,17.777779,17.965046
821,18.822222,18.900484
822,20.905556,19.22364
823,19.91111,22.66437
824,20.911112,19.92153
825,21.066668,20.429905
826,18.933332,20.899736
827,23.355555,18.645746
828,22.699999,24.747332
829,23.783333,23.485256
830,23.516666,23.777044
831,22.666664,23.263021
832,21.138887,22.22175
833,19.98889,20.472809
834,18.938889,19.19013
835,19.444445,18.291536
836,18.477777,19.245083
837,18.916666,17.903322
838,18.916666,18.664055
839,18.811111,18.761791
840,18.866667,18.614113
841,18.866667,18.744799
842,18.433332,18.699728
843,18.822222,18.166706
844,18.822222,19.40109
845,19.905556,19.84509
846,21.133333,20.435259
847,23.794447,21.593174
848,25.827776,24.88278
849,27.616667,26.632406
850,27.61111,27.582115
851,28.677776,27.405746
852,28.772224,28.640182
853,28.794447,28.268393
854,27.82778,27.973007
855,27.244444,26.64569
856,27.172222,26.315815
857,23.066668,26.497972
858,21.038889,21.883648
859,19.52222,19.895489
860,18.844444,18.50436
861,18.794447,17.734327
862,17.733334,18.376814
863,17.572222,17.226994
864,17.17778,17.14163
865,16.65,16.976473
866,15.922224,16.000542
867,16.094442,15.675632
868,18.733335,16.906641
869,20.92778,19.826694
870,23.88889,22.330557
871,26.044445,25.173773
872,27.055553,27.470486
873,27.755556,27.895212
874,29.905554,28.163923
875,29.866665,29.939993
876,30.994442,29.365166
877,30.022224,30.232317
878,29.927776,29.110937
879,29.927776,28.92052
880,27.777779,28.942213
881,25.072222,26.531458
882,22.25,23.66454
883,21.627777,20.796658
884,20.144442,20.389864
885,18.916666,19.09614
886,17.855558,18.136942
887,18.422224,16.930445
888,16.744444,17.69599
889,16.166666,16.68523
890,15.933335,16.08582
891,15.05,16.04071
892,18.711113,15.947221
893,22.48889,20.686184
894,25.927778,24.243446
895,27.755556,27.242016
896,29.772224,28.44956
897,31.044445,29.538813
898,31.08889,30.71558
899,31.055555,30.742123
900,32.66111,29.71745
901,32.2,31.335537
902,32.077778,31.076752
903,32.155556,30.653938
904,30.97222,30.800056
905,27.177778,29.68892
906,23.866667,25.29662
907,22.177778,22.02509
908,20.733334,20.308016
909,19.983335,19.419186
910,19.861109,18.838007
911,19.55,19.000383
912,17.272223,19.430033
913,17.733334,17.2828
914,17.850002,17.543528
915,17.711111,18.068205
916,19.916666,19.370546
917,22.705555,21.95745
918,26.255556,24.282082
919,30.05,28.021051
920,31.005554,31.83652
921,32.711113,31.307898
922,33.794445,32.580482
923,33.627777,33.62614
924,33.866665,32.969616
925,33.88889,32.897293
926,33.744446,32.86502
927,32.85,32.841526
928,31.205555,32.06094
929,27.966667,30.151512
930,25.994444,27.246147
931,24.883331,25.451815
932,22.883333,23.959156
933,23.216667,21.45086
934,22.616667,22.369778
935,21.505556,21.914734
936,21.16111,20.983557
937,20.072222,20.56548
938,19.072224,19.339869
939,17.411112,18.656052
940,21.022223,18.251587
941,23.427778,22.461935
942,25.955557,24.701584
943,28.638887,27.273785
944,29.622221,29.881647
945,31.972221,30.50986
946,32.55,32.25723
947,33.566666,32.083508
948,33.705555,32.728268
949,34.216667,32.67289
950,33.627777,31.81
951,32.566666,31.643755
952,30.95,31.320848
953,27.800001,29.126875
954,27.105555,25.880964
955,25.95,25.81019
956,24.888887,24.506336
957,23.750002,23.022861
958,23.127779,22.528399
959,20.4,22.334427
960,18.455555,18.582302
961,18.36111,17.027733
962,18.366667,17.67742
963,18.244442,17.802887
964,17.688889,18.136618
965,17.744446,18.267416
966,19.005556,18.26851
967,22.161112,19.737375
968,23.672222,23.098942
969,26.044445,24.197731
970,26.183332,26.410168
971,27.155556,25.99271
972,28.844444,27.124908
973,28.844444,28.951271
974,28.755556,28.453909
975,28.844444,27.7364
976,27.71111,27.855043
977,25.9,26.959436
978,23.755558,23.969816
979,23.616665,21.807951
980,22.427778,22.27311
981,21.977777,21.351181
982,20.377777,21.170725
983,20.688889,19.890728
984,19.75,20.198034
985,18.794447,19.68839
986,17.93333,18.638903
987,17.21667,17.643618
988,17.266666,17.894669
989,18.855556,18.579483
990,21.155556,19.47464
991,23.883331,22.156343
